"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief over Voortgang Kabinetsreactie Capaciteitsplan 2024-2027","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-voortgang-kabinetsreactie-capaciteitsplan-2024-2027","Kamerbrief over Voortgang Kabinetsreactie Capaciteitsplan 2024-2027",2023-12-13 15:00:20,"d28077c8-170c-45fc-8be0-9ae91fff081b"
"Antwoorden op Kamervragen over huisartsenzorg in Brunssum","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/antwoorden-op-kamervragen-over-de-huisartsenzorg-in-brunssum","Minister Kuipers (VWS) geeft antwoord op vragen over de huisartsenzorg in Brunssum. Het Tweede Kamerlid Dijk (SP) heeft de vragen gesteld. Antwoorden op Kamervragen over huisartsenzorg in Brunssum",2023-12-13 14:59:06,"b10fe9bd-7088-4db1-bf48-133889e52ed2"
"Kamerbrief over update doorlooptijden geneesmiddelen en routes tot pakkettoelating","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-update-doorlooptijden-geneesmiddelen-en-routes-tot-pakkettoelating","Minister Kuipers (VWS) geeft de Tweede Kamer een update over de doorlooptijden van geneesmiddelen en de routes tot pakkettoelating van geneesmiddelen. Kamerbrief over update doorlooptijden geneesmiddelen en routes tot pakkettoelating",2023-12-13 14:58:07,"fe7b65c9-b69c-4c21-9ddf-984f73afb2fc"
"Kamerbrief over toezegging brief pijnbehandeling en aanbieding RIVM-advies uitvoering monitoringsfunctie 1e 1000 dagen","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-toezegging-brief-pijnbehandeling-en-aanbieding-rivm-advies-uitvoering-monitoringsfunctie-eerste-1000-dagen","Minister Kuipers (VWS) informeert de Tweede Kamer over een toezegging om te bezien of er meer nodig is om informatie over de mogelijkheden van pijnbehandeling onder de aandacht te brengen van zwangeren. Daarnaast brengt de minister de Kamer  op de hoogte van het RIVM-rapport Advies uitvoering monitoringsfunctie eerste 1000 dagen. Kamerbrief over toezegging brief pijnbehandeling en aanbieding RIVM-advies uitvoering monitoringsfunctie 1e 1000 dagen",2023-12-13 14:55:20,"f0154b26-83d3-4692-a8ac-67e71f4aba69"
"Kamerbrief over voortgang op sturing op generieke functies voor elektronische gegevensuitwisseling","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/12/kamerbrief-over-voortgang-publieke-sturing-op-generieke-functies-voor-elektronische-gegevensuitwisseling","Minister Kuipers (VWS) informeert de Tweede Kamer over de sturing op generieke functies voor elektronische gegevensuitwisseling. Het digitaal kunnen uitwisselen van gegevens draagt bij aan het toegankelijk en betaalbaar houden van de zorg, op de korte en de langere termijn. Om passende zorg te kunnen leveren, moeten zorgverleners op het juiste moment kunnen beschikken over de juiste informatie op de juiste plek. De Eerste Kamer heeft een afschrift van deze brief.Kamerbrief over voortgang op sturing op generieke functies voor elektronische gegevensuitwisseling",2023-12-13 13:34:52,"e69480ca-9062-4cf9-9020-80ff994a054e"
"Antwoorden op Kamervragen (VSO) over toekomstbestendig stelsel voor vergoeding nieuwe dure geneesmiddelen uit basispakket","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-inbreng-schriftelijk-overleg-toekomstbestendig-stelsel-voor-de-vergoeding-van-nieuwe-dure-geneesmiddelen-uit-het-basispakket","Minister Kuipers (VWS) geeft antwoord op vragen over de Kamerbrief Naar een toekomstbestendig stelsel voor de vergoeding van nieuwe dure geneesmiddelen uit het basispakket van 16 juni 2023. De vaste commissie van VWS heeft de vragen gesteld in een verslag van een Schriftelijk Overleg (VSO) met de minister.Antwoorden op Kamervragen (VSO) over toekomstbestendig stelsel voor vergoeding nieuwe dure geneesmiddelen uit basispakket",2023-12-13 12:53:34,"4d362e8a-6e92-44fd-b4ed-15c2a35b6069"
"Kamerbrief over herijkte visie op geneesmiddeleninformatie voor zorgverleners","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-visie-op-geneesmiddeleninformatie-voor-zorgverleners","Minister Kuipers (VWS) informeert de Tweede Kamer over zijn herijkte visie op het gebied van geneesmiddeleninformatie voor zorgverleners.Kamerbrief over herijkte visie op geneesmiddeleninformatie voor zorgverleners",2023-12-13 12:46:08,"479dddcf-3cb9-4ef0-acbe-94636ea72638"
"Antwoorden op Kamervragen over de dreigende sluiting van de huisartsenposten in het VUmc en het Erasmus MC ","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/antwoorden-op-kamervragen-over-de-dreigende-sluiting-van-de-huisartsenposten-in-het-vumc-en-het-erasmus-mc","Minister Kuipers (VWS) geeft antwoord op vragen over de dreigende sluiting van de huisartsenposten in het VUmc en het Erasmus MC. De vragen zijn van het Kamerlid Dijk (SP). Antwoorden op Kamervragen over de dreigende sluiting van de huisartsenposten in het VUmc en het Erasmus MC",2023-12-13 12:33:21,"0c21d5f2-e9f1-4972-b338-8ffa3a46896f"
"Kamerbrief over eindresultaat uitvoeringstraject moleculaire diagnostiek in oncologie","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/13/kamerbrief-over-eindbrief-moleculaire-diagnostiek","Minister Kuipers (VWS) informeert de Tweede Kamer over het eindresultaat van het uitvoeringstraject moleculaire diagnostiek in de oncologie. Kamerbrief over eindresultaat uitvoeringstraject moleculaire diagnostiek in oncologie",2023-12-13 11:18:55,"0e3a1a99-98a6-46b4-9e1c-398240e4186b"
"Beantwoording inbreng schriftelijk overleg over de brief ‘deelrapporten van het onderzoek naar de inkoop van persoonlijke beschermingsmiddelen’","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/12/beantwoording-inbreng-schriftelijk-overleg-over-de-brief-deelrapporten-van-het-onderzoek-naar-de-inkoop-van-persoonlijke-beschermingsmiddelen","Beantwoording inbreng schriftelijk overleg over de brief ‘deelrapporten van het onderzoek naar de inkoop van persoonlijke beschermingsmiddelen’",2023-12-13 09:16:00,"94fc906e-f54f-4323-a288-0f20f0899236"
"Antwoorden op Kamervragen over bericht Toename van kinderen met een longontsteking","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/12/antwoorden-op-kamervragen-over-het-bericht-toename-van-kinderen-met-een-longontsteking","Minister Kuipers (VWS) geeft antwoord op vragen over het bericht Toename van kinderen met een longontsteking. Het Tweede Kamerlid Jimmy Dijk (SP) heeft deze vragen gesteld.Antwoorden op Kamervragen over bericht Toename van kinderen met een longontsteking",2023-12-13 09:09:54,"c948c094-25ef-44c1-97ec-b34e39e18494"
"Antwoorden op Kamervragen over bericht dat aantal kinderen met longontsteking grootste is in 3 jaar tijd","https://www.rijksoverheid.nl/documenten/kamerstukken/2023/12/12/antwoorden-op-kamervragen-over-het-bericht-dat-het-aantal-kinderen-met-longontsteking-het-grootste-is-in-drie-jaar-tijd","Minister Kuipers (VWS) geeft antwoord op vragen over  het bericht dat het aantal kinderen met longontsteking het grootste is in 3 jaar tijd. Het Tweede Kamerlid Agema (PVV) heeft de vragen gesteld.Antwoorden op Kamervragen over bericht dat aantal kinderen met longontsteking grootste is in 3 jaar tijd",2023-12-13 09:07:32,"3df22b52-7f72-43e8-9444-1edc3486224d"
