"item_title","item_link","item_description","item_pub_date","item_guid"
"Kamerbrief met reactie op SER-adviesrapport 'Mantelzorg en werk in een zorgzame samenleving'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/01/kamerbrief-over-het-ser-adviesrapport-mantelzorg-en-werk-in-een-zorgzame-samenleving-een-integrale-aanpak-voor-een-werkende-combinatie-voorafgegaan-door-een-kabinetsreactie","Minister Sterk (Langdurige Zorg, Jeugd en Sport) stuurt de Tweede Kamer een reactie op het advies van de Sociaal-Economische Raad (SER) over de toekomstbestendige combinatie van werk en mantelzorg. Ook informeert de minister de Tweede Kamer over het vervolgtraject. Het Tweede Kamerlid Van Dijk (SGP) had om de reactie verzocht.Kamerbrief met reactie op SER-adviesrapport 'Mantelzorg en werk in een zorgzame samenleving'",2026-04-03 11:06:55,"f067d49e-90eb-4149-a882-52a0a9e75d2d"
"Aanbiedingsbrief bij Samenvattend rapport Zorgverzekeringswet 2025","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/01/kamerbrief-over-samenvattend-rapport-zvw-nza-2025","Minister Hermans (VWS) biedt de Tweede Kamer het 'Samenvattend rapport Zorgverzekeringswet 2025' van de Nederlandse Zorgautoriteit (NZa) aan. De NZa heeft samengevat hoe zorgverzekeraars in 2025 uitvoering geven aan de Zorgverzekeringswet (Zvw).Aanbiedingsbrief bij Samenvattend rapport Zorgverzekeringswet 2025",2026-04-03 10:48:20,"903ebc3e-b66e-41f2-9ed8-cfacf9315ecc"
"Kamerbrief over stand van zaken Villa ExpertCare en vervolg","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/01/kamerbrief-over-stand-van-zaken-villa-expertcare-en-vervolg","Minister Sterk (Langdurige Zorg, Jeugd en Sport) informeert de Tweede Kamer over de recente ontwikkelingen rondom de voorgenomen sluiting van locaties van Villa ExpertCare (VEC).Kamerbrief over stand van zaken Villa ExpertCare en vervolg",2026-04-03 09:54:59,"de300ef9-0074-4e02-b05a-3c449826e78f"
"Antwoorden Kamervragen over rapport over grondwaterkwaliteit Nederland 2024 ","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/01/beantwoording-kamervragen-over-het-arcadis-rapport-grondwaterkwaliteit-nederland-2024","Minister Karremans (IenW) geeft de antwoorden op Kamervragen over het rapport 'Grondwaterkwaliteit Nederland 2024'. De vragen gingen over vervuiling van het grondwater, onder meer door bestrijdingsmiddelen en PFAS. Het Tweede Kamerlid Kostic (PvdD) had de vragen gesteld. Antwoorden Kamervragen over rapport over grondwaterkwaliteit Nederland 2024",2026-04-03 06:21:42,"ebb803f6-1521-4dc2-9461-efaabad8d543"
"Kamerbrief met Kabinetsreactie op rapport 'Klem in het systeem'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/02/kamerbrief-kabinetsreactie-rapport-toezicht-sociaal-domein-klem-in-het-systeem","Minister Van Weel (JenV), minister Heerma (BZK) en minister Hermans (VWS) informeren de Tweede Kamer met de Kabinetsreactie op het rapport ‘Klem in het systeem’. Het rapport is van de Inspectie Justitie en Veiligheid (Inspectie JenV), de Inspectie Gezondheidszorg en Jeugd (IGJ) en het Toezicht Sociaal Domein (TSD). Kamerbrief met Kabinetsreactie op rapport 'Klem in het systeem'",2026-04-02 15:54:32,"230b76d7-d966-4726-9c6b-4f1ca14e9ae6"
"Uitstelbrief antwoorden Kamervragen over de berichten dat kwetsbare vrouwen hun kind afstaan en de rol van instanties bij afstandsprocedures","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/02/uitstelbericht-kamervragen-over-de-berichten-dat-kwetsbare-vrouwen-hun-kind-afstaan-en-de-rol-van-instanties-bij-afstandsprocedures","Staatssecretaris Van Bruggen (JenV) stelt de toezending uit van de antwoorden op Kamervragen naar aanleiding van de berichten dat kwetsbare vrouwen hun kind afstaan en de rol van instanties bij afstandsprocedures. De Tweede Kamerleden Straatman en Tijs van den Brink (beiden CDA) hadden de vragen gesteld. Uitstelbrief antwoorden Kamervragen over de berichten dat kwetsbare vrouwen hun kind afstaan en de rol van instanties bij afstandsprocedures",2026-04-02 14:51:17,"b5d15007-dc36-430d-b727-834c021349ea"
"Uitstelbrief op Kamervragen over de berichten dat kwetsbare vrouwen hun kind afstaan en de rol van instanties bij afstandsprocedures","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/02/uitstelbrief-op-kamervragen-over-de-berichten-dat-kwetsbare-vrouwen-hun-kind-afstaan-en-de-rol-van-instanties-bij-afstandsprocedures","Uitstelbrief op Kamervragen over de berichten dat kwetsbare vrouwen hun kind afstaan en de rol van instanties bij afstandsprocedures",2026-04-02 13:11:38,"77613114-d6fb-474e-a33f-5b75b5b6c930"
"Uitstelbrief antwoorden Kamervragen over de wijziging van automatische uitbetaling naar declaratie voor Zilveren Kruis-verzekerden met een hulphond","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/02/uitstelbrief-antwoorden-kamervragen-over-de-wijziging-van-automatische-uitbetaling-naar-declaratie-voor-zilveren-kruis-verzekerden-met-een-hulphond","Uitstelbrief antwoorden Kamervragen over de wijziging van automatische uitbetaling naar declaratie voor Zilveren Kruis-verzekerden met een hulphond",2026-04-02 12:54:21,"6b59f1d7-03bc-4165-8ded-48011da1ffc9"
"Kamerbrief inzake Pakket Pandemische Paraatheid","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/02/kamerbrief-inzake-pakket-pandemische-paraatheid","Kamerbrief inzake Pakket Pandemische Paraatheid",2026-04-02 11:59:05,"d8a9a21a-635d-407f-954d-5e1338753779"
"Beantwoording Kamervragen over het bericht 'Ernstige misstanden in horrorverpleeghuis, alle seinen op rood 'Mensen smeken erom dood te mogen gaan'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/02/beantwoording-kamervragen-over-het-bericht-ernstige-misstanden-in-horrorverpleeghuis-alle-seinen-op-rood-mensen-smeken-erom-dood-te-mogen-gaan","Beantwoording Kamervragen over het bericht 'Ernstige misstanden in horrorverpleeghuis, alle seinen op rood 'Mensen smeken erom dood te mogen gaan'",2026-04-02 09:34:21,"cdf7fd7f-182d-424a-9011-f7c713d76f3c"
"Beantwoording Kamervragen over het artikel 'Ernstige misstanden in horrorverpleeghuis, alle seinen op rood 'Mensen smeken erom dood te mogen gaan'","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/02/beantwoording-kamervragen-over-het-artikel-ernstige-misstanden-in-horrorverpleeghuis-alle-seinen-op-rood-mensen-smeken-erom-dood-te-mogen-gaan","Beantwoording Kamervragen over het artikel 'Ernstige misstanden in horrorverpleeghuis, alle seinen op rood 'Mensen smeken erom dood te mogen gaan'",2026-04-02 09:32:24,"f60ca857-08ad-4a19-bd62-7b6bb94d77a2"
"Antwoorden op Kamervragen over het dwingen tot het dragen van een mondkapje","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/02/antwoorden-op-kamervragen-over-het-dwingen-tot-het-dragen-van-een-mondkapje","Antwoorden op Kamervragen over het dwingen tot het dragen van een mondkapje",2026-04-02 09:31:09,"c6861fc0-6d94-4831-a66c-50643fd9360b"
"Uitstelbrief antwoorden Kamervragen over het bericht ‘Opnieuw asbestzand te koop bij Bol.com, webwinkel stopt verkoop van speelzand helemaal’","https://www.rijksoverheid.nl/documenten/kamerstukken/2026/04/02/uitstelbrief-antwoorden-kamervragen-over-het-bericht-opnieuw-asbestzand-te-koop-bij-bol-com-webwinkel-stopt-verkoop-van-speelzand-helemaal","Uitstelbrief antwoorden Kamervragen over het bericht ‘Opnieuw asbestzand te koop bij Bol.com, webwinkel stopt verkoop van speelzand helemaal’",2026-04-02 08:48:27,"e43c8bc9-c552-4828-b847-83dced4cc581"
